Cod_Producto,Descripcion,Unidad,Precio,Precio_IVA,Paga_Impuesto_IVA,Existencia,Observación,Campo1
16,PORTAFUSIBLE_14X85_DC_HASTA_50A,U,12.83,14.3696,VERDADERO,0,CATALOGO,
17,"BREAKER_DC_16A_2P_C_CURVE,_10kA_800VDC",U,30.31,33.9472,VERDADERO,0,CATALOGO,
18,"BREAKER_DC_20A_2P_C_CURVE,_10kA_800VDC",U,30.31,33.9472,VERDADERO,0,CATALOGO,
19,"BREAKER_DC_32A_2P_C_CURVE,_10kA_800VDC",U,30.31,33.9472,VERDADERO,0,CATALOGO,
20,"BREAKER_DC_50A_2P_C_CURVE,_10kA_800VDC",U,30.31,33.9472,VERDADERO,0,CATALOGO,
2001,TOMA_DOBLE_POLARIZ._15A_125/250V_BL_VETO,U,1.964285714,2.2,VERDADERO,0,INVENTARIO,
2003,TOMA_DOBLE_POLARIZ.__15A_125V_BL_COOPER,U,0.758928571,0.85,VERDADERO,0,INVENTARIO,
2004,TOMA_DOBLE_POLARIZ._TIERRA_AISLADA_15A_125/250V_NJ_VETO,U,3.4375,3.85,VERDADERO,0,INVENTARIO,
2005,TOMA_DOBLE_CHINO-TUERT._POLARIZ._20AMP_220V,U,4.375,4.9,VERDADERO,0,INVENTARIO,
2006,TOMA_DOBLE_SOBREP._POLARIZ._15A_125/250V_BL_VETO_CLICK,U,1.696428571,1.9,VERDADERO,0,INVENTARIO,
2007,TOMA_AEREO_VINYL_POLARIZ._15A_110V_COOPER,U,2.767857143,3.1,VERDADERO,0,INVENTARIO,
2008,TOMA_AEREO_VINYL_2P_15A_110V_COOPER,U,3.348214286,3.75,VERDADERO,0,INVENTARIO,
2009,TOMA_20A_P/CAJE._P/GALLINA._125/250V_COOPER,U,4.285714286,4.8,VERDADERO,0,INVENTARIO,
2010,TOMA_50A_SOBREP._125/250V_COOPER,U,6.205357143,6.95,VERDADERO,0,INVENTARIO,
2011,MIXTO_TOMA+INTERRUP._BL_VETO,U,4.107142857,4.6,VERDADERO,0,INVENTARIO,
2012,TOMA_CAUCHO_2P_110V_C/ABRAZ.,U,1.517857143,1.7,VERDADERO,0,INVENTARIO,
2013,TOMA_COAXIAL_SIMPLE_75OHM_BL_VETO,U,2.633928571,2.95,VERDADERO,0,INVENTARIO,
2014,TOMA_JACK_TELEFÓNICO_SIMPLE_RJ14_VETO,U,2.410714286,2.7,VERDADERO,0,INVENTARIO,
2015,TOMA_2P+T_32A_220V_EMPOT._IP44_AZ_LEGRAND,U,9.821428571,11,VERDADERO,0,INVENTARIO,
2016,TOMA_50A_P/CAJE._P/GALLINA_125/250V_COOPER,U,4.375,4.9,VERDADERO,0,INVENTARIO,
21,"BREAKER_DC_63A_2P_C_CURVE,_10kA_800VDC",U,30.31,33.9472,VERDADERO,0,CATALOGO,
22,"BREAKER_DC_16A_1P_C_CURVE,_10kA_250VDC",U,15.16,16.9792,VERDADERO,0,CATALOGO,
23,"BREAKER_DC_32A_1P_C_CURVE,_10kA_250VDC",U,15.16,16.9792,VERDADERO,0,CATALOGO,
24,"BREAKER_DC_63A_1P_C_CURVE,_10kA_250VDC",U,15.16,16.9792,VERDADERO,0,CATALOGO,
25,"BREAKER_DC_16A_4P_C_CURVE,_10kA_1000VDC",U,25.65,28.728,VERDADERO,0,CATALOGO,
26,DC_SURGE_PROTECTOR_2P_20-40KA_800VDC,U,36.75,41.16,VERDADERO,0,CATALOGO,
27,DC_SURGE_PROTECTOR_3P_20-40KA_1000VDC,U,46.4,51.968,VERDADERO,0,CATALOGO,
28,BASE_SOPORTE_PIEZA_ALTA_35cm_ACERO_INOXIDABLE_LOSA_A_RIEL_SOLAR_(INCL._PERNOS_Y_TUERCAS),U,9.2,10.304,VERDADERO,0,CATALOGO,
29,BASE_SOPORTE_PIEZA_BAJA_15cm_ACERO_INOXIDABLE_LOSA_A_RIEL_SOLAR_(INCL._PERNOS_Y_TUERCAS),U,8.32,9.3184,VERDADERO,0,CATALOGO,
30,BASE_SOPORTE_PIEZA_ALTA_60cm_ACERO_INOXIDABLE_LOSA_A_RIEL_SOLAR_(INCL._PERNOS_Y_TUERCAS),U,23,25.76,VERDADERO,0,CATALOGO,
3001,TAPA_REDONDA_GRANDE_PVC_BL,U,0.3125,0.35,VERDADERO,0,INVENTARIO,
3002,TAPA_REDONDA_METÁLICA,U,0.223214286,0.25,VERDADERO,0,INVENTARIO,
3003,TAPA_CIEGA_RECTANGULAR_BL,U,0.267857143,0.3,VERDADERO,0,INVENTARIO,
3004,TAPA_INTERPERIE_P/TOMA_DOBLE,U,3.035714286,3.4,VERDADERO,0,INVENTARIO,
3005,TAPA_10X10_METÁLICA,U,0.223214286,0.25,VERDADERO,0,INVENTARIO,
3006,PLACA_P/TOMA_DOBLE_DE_15AMP_BL._COOPER,U,0.223214286,0.25,VERDADERO,0,INVENTARIO,
3008,PLACA_P/TOMA_SIMPLE_DE_20AMP_CR._COOPER,U,0.625,0.7,VERDADERO,0,INVENTARIO,
31,BASE_SOPORTE_PIEZA_BAJA_40cm_ACERO_INOXIDABLE_LOSA_A_RIEL_SOLAR_(INCL._PERNOS_Y_TUERCAS),U,11.65,13.048,VERDADERO,0,CATALOGO,
32,BASE_SOPORTE_PIEZA_BAJA_10cm_ACERO_INOXIDABLE_LOSA_A_RIEL_SOLAR_(INCL._PERNOS_Y_TUERCAS),U,8.74,9.7888,VERDADERO,0,CATALOGO,
33,MID_CLAMPS_ALUM._UNIVERSAL_(INCL._PERNO_Y_TUERCA),U,2.4,2.688,VERDADERO,0,CATALOGO,
34,END_CLAMPS_ALUM._30mm_(INCL._PERNO_Y_TUERCA),U,2.35,2.632,VERDADERO,0,CATALOGO,
35,END_CLAMPS_ALUM._35mm_(INCL._PERNO_Y_TUERCA),U,2.35,2.632,VERDADERO,0,CATALOGO,
36,RIEL_SOLAR_ALUM._1_CANAL_3m,U,23,25.76,VERDADERO,0,CATALOGO,
37,RIEL_SOLAR_ALUM._1_CANAL_6m,U,37.5,42,VERDADERO,0,CATALOGO,
38,PERNO_DE_SUGESIÓN_PARA_VIGAS_METÁLICAS_Y_TECHO_INCLINADO,U,4.6,5.152,VERDADERO,0,CATALOGO,
39,PERNO_DE_SUGESIÓN_PARA_VIGAS_DE_MADERA_Y_TECHO_INCLINADO,U,2.4,2.688,VERDADERO,0,CATALOGO,
40,ANGULO_TIPO_L,U,2.56,2.8672,VERDADERO,0,CATALOGO,
4001,ENCHUFE_VINIL_POLARIZ._15A_110V_COOPER,U,2.589285714,2.9,VERDADERO,0,INVENTARIO,
4002,ENCHUFE_VINIL_2P_15A_125V_COOPER,U,2.1875,2.45,VERDADERO,0,INVENTARIO,
4003,ENCHUFE_VINIL_CHINO_POLARIZ._15A_220V_COOPER,U,2.991071429,3.35,VERDADERO,0,INVENTARIO,
4004,ENCHUFE_20AMP_P/GALLINA._220V_COOPER,U,5.267857143,5.9,VERDADERO,0,INVENTARIO,
4005,ENCHUFE_CAUCHO_POLARIZ._C/ABRAZ,U,0.669642857,0.75,VERDADERO,0,INVENTARIO,
